no,name,year,cc,distance,color,gear,fuel,option,seat,flooding,insurance,release,price
101,마세라티 콰트로포르테 3.8 GTS 그란스포츠,2017,3799,3000,남색,자동,가솔린,53,5,0,0,22710,14699
19,벤틀리 뉴 컨티넨탈 GT 4.0 V8,2015,3993,52000,검정색,자동,가솔린,42,4,0,5,25000,14000
636,람보르기니 가야르도 LP550-2 스파이더,2013,5204,26900,남색,자동,가솔린,18,2,0,1,32200,13900
180,벤츠 G클래스 G63 AMG,2017,5461,54000,검정색,자동,가솔린,0,5,0,0,20500,13500
111,랜드로버 뉴 레인지로버 5.0 V8 SC SV오토바이오그래피 LWB L405 (1..,2016,5000,45812,검정투톤,자동,가솔린,51,4,0,2,28860,13490
79,벤츠 S클래스 S560L 4매틱,2018,3982,54136,검정색,자동,가솔린,58,5,0,0,20150,13400
339,마세라티 그란투리스모 4.7 MC 스트라 달레,2020,4691,4300,검정색,자동,가솔린,26,4,0,0,23360,12900
174,마세라티 그란투리스모 4.7 MC 스트라 달레,2020,4691,4300,검정색,자동,가솔린,26,4,0,0,23360,12900
3,벤틀리 컨티넨탈 플라잉스퍼 2세대 4.0,2014,3993,51800,흰색,자동,가솔린,40,4,0,3,25000,12700
263,BMW 7시리즈 740Ld xDrive M 스포츠,2019,2993,5750,회색,자동,디젤,70,5,0,0,16540,12600
110,BMW 7시리즈 740Ld xDrive M 스포츠,2019,2993,5750,회색,자동,디젤,70,5,0,0,16540,12600
48,BMW X7 xDrive 40i 6인승 디자인 퓨어 엑설런스,2019,2998,8000,검정색,자동,가솔린,63,6,0,0,12680,12400
56,벤틀리 컨티넨탈 GT 1세대 6.0 슈퍼스포츠,2010,5998,30300,흰색,자동,가솔린,33,2,0,0,37500,12000
4,벤츠 S클래스 S450L,2018,2996,47700,은색,자동,가솔린,60,5,0,2,16850,11690
28,포르쉐 911 카레라 S 카브리올레 991,2014,3800,37880,흰색,자동,가솔린,33,4,0,0,15350,11500
168,벤츠 S클래스 S560L 4매틱,2018,3982,44000,검정색,자동,가솔린,68,5,0,1,20150,11490
15,벤츠 S클래스 S560L 4매틱,2018,3982,44000,검정색,자동,가솔린,68,5,0,1,20150,11490
439,포르쉐 911 터보 991,2014,3800,52349,흰색,자동,가솔린,0,4,0,1,21250,11300
79,애스턴마틴 DB9 쿠페,2016,5935,3600,진회색,자동,가솔린,34,4,0,0,25900,11300
138,랜드로버 뉴 레인지로버 4.4 SDV8 보그 SE L405,2017,4367,28113,흰색,자동,디젤,49,5,0,1,17800,11300
20,BMW 7시리즈 730d xDrive M 스포츠,2020,2993,960,검정색,자동,디젤,59,5,0,0,13950,11200
99,벤츠 S클래스 S560L 4매틱,2017,3982,30500,은색,자동,가솔린,58,5,0,4,20150,11000
60,벤츠 S클래스 S450L 4매틱,2018,2996,44000,검정색,자동,가솔린,58,5,0,0,17350,10999
194,벤츠 S클래스 S350L,2019,2996,33000,검정색,자동,가솔린,36,5,0,1,14700,10700
307,BMW 7시리즈 740d xDrive 디자인 퓨어 엑설런스,2019,2993,8550,검정색,자동,디젤,67,5,0,0,14680,10700
154,BMW 7시리즈 740d xDrive 디자인 퓨어 엑설런스,2019,2993,8550,검정색,자동,디젤,67,5,0,0,14680,10700
303,BMW 7시리즈 740d xDrive 디자인 퓨어 엑설런스,2019,2993,8200,진회색,자동,디젤,50,5,0,0,14680,10600
150,BMW 7시리즈 740d xDrive 디자인 퓨어 엑설런스,2019,2993,8200,진회색,자동,디젤,50,5,0,0,14680,10600
506,벤츠 S클래스 S63L AMG 4매틱,2015,5461,43000,흰색,자동,가솔린,44,5,0,2,21400,10500
525,벤츠 G클래스 G63 AMG,2013,5461,51000,은색투톤,자동,가솔린,43,5,0,1,20900,10500
70,랜드로버 뉴 레인지로버 스포츠 3.0 SDV6 HSE 다이나믹 L494(18년~현..,2019,2993,13000,빨간색,자동,디젤,13,5,0,0,14220,10300
698,랜드로버 뉴 레인지로버 4.4 SDV8 오토바이오그래피 L405,2017,4367,76000,흰색투톤,자동,디젤,64,5,0,2,18770,10150
119,렉서스 NX 300h 슈프림,2018,2494,28323,검정색,자동,가솔린,46,5,0,1,5770,9999
241,BMW X4 1세대 xDrive 20d,2014,1995,91100,흰색,자동,디젤,0,5,0,3,7020,9999
88,BMW X4 1세대 xDrive 20d,2014,1995,91100,흰색,자동,디젤,0,5,0,3,7020,9999
21,기아 올 뉴 모닝 1.0 가솔린 프레스티지 JA,2018,998,18295,진회색,자동,가솔린,18,5,0,0,1265,9999
27,랜드로버 뉴 레인지로버 4.4 SDV8 오토바이오그래피 L405,2016,4367,43700,검정색,자동,디젤,51,5,0,1,18770,9900
12,포르쉐 718 박스터 2.0,2020,1988,4000,은색,자동,가솔린,17,2,0,0,8140,9800
81,랜드로버 뉴 레인지로버 스포츠 3.0 SDV6 HSE 다이나믹 L494,2019,2993,31000,진회색,자동,디젤,0,5,0,0,14220,9500
16,캐딜락 올 뉴 에스컬레이드 6.2 V8 AWD 10AT,2019,6162,14751,검정색,자동,가솔린,67,7,0,0,12980,9500
116,BMW M4 쿠페 CS F82,2019,2979,3629,검정색,자동,가솔린,43,4,0,0,14740,9399
35,제네시스 G90 5.0 GDi AWD 프레스티지,2020,5038,9400,은색,자동,가솔린,47,5,0,0,11878,9200
117,BMW X5 4세대 xDrive 30d M 스포츠 퍼스트 에디션,2019,2993,49000,흰색,자동,디젤,46,5,0,1,10950,9190
169,벤츠 GLE클래스 GLE 63 S AMG 4매틱 쿠페 W164 (16~19년..,2017,5461,66000,검정색,자동,가솔린,60,5,0,2,17200,8990
16,벤츠 GLE클래스 GLE 63 S AMG 4매틱 쿠페 W164 (16~19년..,2017,5461,66000,검정색,자동,가솔린,60,5,0,2,17200,8990
3,BMW 뉴 740d xDrive M 스포츠 G11,2018,2993,14040,진회색,자동,디젤,52,5,0,2,14760,8950
309,BMW M4 쿠페 CS,2019,2979,5900,청색,자동,가솔린,4,4,0,0,14740,8950
156,BMW M4 쿠페 CS,2019,2979,5900,청색,자동,가솔린,4,4,0,0,14740,8950
257,BMW 5시리즈 M550d xDrive,2019,2993,12800,진회색,자동,디젤,42,5,0,0,12220,8550
634,포르쉐 파나메라 3.6 4 4WD 에디션 970,2015,3605,25000,진회색,자동,가솔린,42,4,0,4,12230,8550
470,BMW 7시리즈 750Li xDrive,2018,4395,46000,진청색,자동,가솔린,42,5,0,1,19460,8500
65,벤틀리 컨티넨탈 플라잉스퍼 2세대 6.0,2014,5998,158691,남색,자동,가솔린,43,4,0,3,28000,8500
37,BMW X6 M 2세대 4.4,2016,4395,50000,검정색,자동,가솔린,50,5,0,2,16500,8500
567,제네시스 G90 5.0 GDi AWD 프레스티지,2019,5038,24418,검정색,자동,가솔린,63,5,0,0,11878,8490
125,제네시스 G90 3.8 GDi AWD 프레스티지,2018,3778,17814,흰색,자동,가솔린,58,5,0,2,10995,8350
76,랜드로버 뉴 레인지로버 스포츠 3.0 SDV6 오토바이오그래피 다이나믹 L494,2017,2993,28000,청색,자동,디젤,39,5,0,2,14100,8300
328,제네시스 GV80 3.5 T-GDi AWD 5인승,2020,3470,4606,흰색,자동,가솔린,66,5,0,0,6937,8290
1,제네시스 G90 5.0 GDi AWD 프레스티지,2019,5038,44000,연금색,자동,가솔린,55,5,0,0,11878,8200
11,벤츠 S클래스 S63L AMG 4매틱,2016,3982,127662,검정색,자동,가솔린,55,5,0,9,21400,8200
100,벤츠 SL클래스 SL63 AMG,2013,5461,41500,진회색,자동,가솔린,27,2,0,0,20650,8199
81,포르쉐 카이엔 3.0 디젤 플래티늄 에디션 958,2017,2967,6800,흰색,자동,디젤,52,5,0,3,10370,8150
21,벤츠 S클래스 S500L,2017,4663,125000,흰색,자동,가솔린,0,5,0,2,19900,8100
144,제네시스 GV80 3.0 디젤 AWD 5인승,2020,2996,8010,검정색,자동,디젤,0,5,0,0,6930,8090
4,제네시스 GV80 3.0 디젤 AWD 5인승,2020,2996,174,검정색,자동,디젤,59,5,0,0,6930,8040
94,포르쉐 파나메라 3.0 디젤 970,2015,2967,30800,회색,자동,디젤,37,4,0,0,12860,8000
39,제네시스 G90 3.3 T-GDi AWD 프리미엄 럭셔리,2019,3342,13892,검정색,자동,가솔린,59,5,0,1,9571,7999
119,캐딜락 올 뉴 에스컬레이드 6.2 V8 AWD 10AT,2019,5967,35293,흰색,자동,가솔린,49,7,0,0,12980,7990
18,제네시스 G90 3.8 GDi AWD 프레스티지,2018,3778,15087,연금색,자동,가솔린,56,5,0,0,10995,7990
141,제네시스 G90 3.3 T-GDi AWD 프리미엄 럭셔리,2019,3342,42983,검정색,자동,가솔린,60,5,0,1,9571,7950
21,벤츠 S클래스 S350 d 4매틱,2016,2987,49264,검정색,자동,디젤,37,5,0,2,13520,7900
28,캐딜락 올 뉴 에스컬레이드 6.2 V8 AWD 10AT,2018,6162,25600,검정색,자동,가솔린,58,7,0,1,12980,7900
3,BMW M3 5세대 세단,2015,2979,25000,노란색,자동,가솔린,49,5,0,0,10990,7800
12,포르쉐 마칸 2.0 95B,2018,1984,18000,검정색,자동,가솔린,30,5,0,0,7450,7750
78,제네시스 GV80 3.0 디젤 AWD 7인승,2020,2996,3200,진회색,자동,디젤,56,7,0,1,7030,7700
103,마세라티 기블리 3.0 V6 S Q4 그란루쏘,2019,2979,4480,흰색,자동,가솔린,0,5,0,1,13990,7600
614,벤츠 E클래스 E400 카브리올레 W213,2018,2996,25200,흰색,자동,가솔린,27,4,0,0,9660,7590
9,제네시스 G90 3.3 T-GDi AWD 프리미엄 럭셔리,2019,3342,18000,검정색,자동,가솔린,60,5,0,1,9571,7590
397,벤츠 S클래스 S500L 4매틱,2014,5462,60000,검정색,자동,가솔린,51,5,0,2,19230,7500
11,BMW X6 2세대 xDrive 40d M 스포츠,2017,2993,37000,검정색,자동,디젤,0,5,0,2,12060,7430
100,BMW X6 2세대 xDrive 40d,2016,2993,23950,진회색,자동,디젤,32,5,0,0,11460,7400
21,BMW 7시리즈 740Li xDrive,2016,2993,25300,은색,자동,가솔린,68,5,0,0,15080,7300
104,랜드로버 뉴 레인지로버 4.4 SDV8 오토바이오그래피 L405,2016,4367,125434,흰색,자동,디젤,59,5,0,3,18770,7250
10,마세라티 콰트로포르테 3.0 디젤,2017,2987,41200,흰색,자동,디젤,0,5,0,1,15280,7200
24,포르쉐 마칸 2.0 95B,2018,1984,28872,흰색,자동,가솔린,34,5,0,2,7450,7200
5,랜드로버 뉴 레인지로버 5.0 V8 SC 오토바이오그래피 L405,2014,5000,112000,검정색,자동,가솔린,50,5,0,2,21430,7190
678,랜드로버 레인지로버 벨라 3.0 D300 R-다이나믹 SE,2018,2993,38700,검정색,자동,디젤,56,5,0,1,11530,7180
117,BMW 5시리즈 540i xDrive M 스포츠 플러스,2019,2998,11000,진회색,자동,가솔린,62,5,0,0,9980,7100
2,벤츠 뉴 S500L W222,2015,4663,114800,검정색,자동,가솔린,38,5,0,4,19230,7050
280,제네시스 G90 3.8 GDi 럭셔리,2019,3778,29110,기타색상,자동,가솔린,57,5,0,0,7706,6960
128,제네시스 G90 3.8 GDi 럭셔리,2019,3778,29110,기타색상,자동,가솔린,57,5,0,0,7706,6960
80,제네시스 더 올 뉴 G80 3.5 T-GDi AWD,2020,3470,4228,진회색,자동,가솔린,60,5,0,0,6187,6800
358,제네시스 G90 3.8 GDi 럭셔리,2019,3778,28369,흰색,자동,가솔린,62,5,0,0,7706,6780
11,BMW X6 2세대 xDrive 30d,2018,2993,33000,검정색,자동,디젤,48,5,0,1,10490,6600
44,제네시스 G90 3.8 GDi 럭셔리,2019,3778,17900,기타색상,자동,가솔린,55,5,0,1,7706,6580
7,BMW X3 3세대 xDrive 30d X라인,2019,2993,17480,흰색,자동,디젤,38,5,0,0,8120,6550
215,벤츠 E클래스 E300e 익스클루시브,2019,1991,12800,회색,자동,가솔린,56,5,0,0,7890,6500
92,랜드로버 뉴 레인지로버 3.0 TDV6 보그 SE L405,2013,2993,75000,흰색,자동,디젤,44,5,0,2,15980,6500
24,볼보 뉴 XC60 T6 AWD 인스크립션,2017,1969,22935,흰색,자동,가솔린,53,5,0,0,7540,6500
635,벤츠 E클래스 E300 4매틱 익스클루시브,2018,1991,16000,흰색,자동,가솔린,39,5,0,2,8060,6490
53,벤츠 E클래스 E300 4매틱 아방가르드,2019,1991,5500,검정색,자동,가솔린,52,5,0,0,7960,6490
9,벤츠 GLE클래스 GLE 350d 4매틱 W164,2017,2987,28841,진회색,자동,디젤,53,5,0,0,9690,6450
86,제네시스 더 올 뉴 G80 2.5 T-GDi AWD,2020,2497,2385,검정색,자동,가솔린,61,5,0,0,5527,6399
223,BMW M4 컨버터블 사일런스 에디션,2017,3000,31000,흰색,자동,가솔린,31,4,0,1,12240,6350
353,테슬라 모델 3 퍼포먼스,2019,225,9600,흰색,자동,전기,0,5,0,1,7369,6350
54,BMW M4 컨버터블 사일런스 에디션,2017,3000,31000,흰색,자동,가솔린,31,4,0,1,12240,6350
195,테슬라 모델 3 퍼포먼스,2019,225,9600,흰색,자동,전기,0,5,0,1,7369,6350
460,제네시스 G90 3.8 GDi 럭셔리,2019,3778,55000,검정색,자동,가솔린,55,5,0,3,7706,6300
1,벤츠 뉴 S350L 블루텍 W222,2015,2987,118700,회색,자동,디젤,34,5,0,2,14220,6280
78,포르쉐 마칸 3.0 S 디젤 95B,2015,2967,87000,진회색,자동,디젤,40,5,0,2,8240,6150
197,벤츠 GLE클래스 GLE 350d 4매틱 쿠페,2016,2987,86296,검정색,자동,디젤,78,5,0,2,10700,6150
216,재규어 F타입 3.0 쿠페 S AWD X152,2016,2995,26000,흰색,자동,가솔린,40,2,0,0,13000,6100
307,기아 더 K9 3.8 GDI AWD 그랜드 플래티넘,2020,3778,23338,흰색,자동,가솔린,66,5,0,0,7628,6090
345,렉서스 뉴 GS 4세대 F,2016,4969,51000,파란색,자동,가솔린,47,5,0,2,11640,6000
192,렉서스 뉴 GS 4세대 F,2016,4969,51000,파란색,자동,가솔린,47,5,0,2,11640,6000
4,랜드로버 뉴 레인지로버 스포츠 3.0 SDV6 HSE L494,2015,2993,77500,흰색,자동,디젤,49,5,0,0,11660,5999
249,포르쉐 카이엔 3.0 디젤 958,2015,2967,123000,검정색,자동,디젤,33,5,0,3,9490,5980
8,포르쉐 카이엔 3.0 디젤 958,2015,2967,123000,검정색,자동,디젤,33,5,0,3,9490,5980
648,기아 더 K9 5.0 GDI AWD 퀀텀,2019,5038,25000,진청색,자동,가솔린,53,5,0,1,9179,5970
135,기아 더 K9 3.3 T-GDI 마스터즈Ⅱ,2020,3342,23000,흰색,자동,가솔린,61,5,0,1,6558,5890
157,기아 더 K9 3.8 GDI AWD 그랜드 플래티넘,2019,3778,12617,회색,자동,가솔린,53,5,0,0,7628,5800
650,기아 더 K9 3.3 T-GDI AWD 그랜드 마스터즈,2019,3342,42000,흰색,자동,가솔린,55,5,0,1,8079,5750
731,BMW M6 3세대 쿠페,2013,4395,58600,흰색,자동,가솔린,40,4,0,0,18890,5750
284,렉서스 뉴 제너레이션 ES 7세대 300h 이그제큐티브,2020,2487,13000,은색,자동,가솔린,38,5,0,0,6640,5730
131,렉서스 뉴 제너레이션 ES 7세대 300h 이그제큐티브,2020,2487,13000,은색,자동,가솔린,38,5,0,0,6640,5730
27,마세라티 콰트로포르테 3.0 디젤,2016,2987,64637,청색,자동,디젤,50,5,0,0,13800,5700
145,제네시스 EQ900 5.0 GDi AWD 프레스티지 리무진,2016,5038,38576,검정색,자동,가솔린,53,5,0,1,15300,5600
15,기아 올 뉴 카니발 2.2 디젤 9인승 하이리무진 프레스티지 하이루프,2018,2199,56000,검정색,자동,디젤,43,9,0,0,4272,5600
9,포르쉐 뉴 박스터 2.7 981,2015,2706,58000,노란색,자동,가솔린,25,2,0,4,7700,5600
8,벤츠 GLC 220d 4매틱 쿠페 프리미엄 X253,2018,2143,53670,흰색,자동,디젤,49,5,0,0,7260,5580
25,포드 익스플로러 2.3 에코부스트 리미티드 AWD,2020,2261,5175,흰색,자동,가솔린,52,7,0,0,5990,5555
147,기아 더 K9 3.8 GDI AWD 플래티넘Ⅲ,2018,3778,15000,흰색,자동,가솔린,55,5,0,0,6764,5500
46,벤츠 E클래스 E220 d 쿠페 W213,2018,1950,26800,진회색,자동,디젤,55,4,0,1,7060,5500
96,제네시스 EQ900 3.3 T-GDi AWD 프레스티지,2016,3342,83000,검정색,자동,가솔린,72,4,0,2,10900,5500
277,제네시스 EQ900 5.0 GDi AWD 프레스티지,2017,5038,63554,검정색,자동,가솔린,56,5,0,0,11584,5499
282,제네시스 EQ900 5.0 GDi AWD 프레스티지 리무진,2017,5038,58140,검정색,자동,가솔린,54,5,0,0,15118,5499
158,기아 더 K9 3.3 T-GDI AWD 마스터즈Ⅲ,2018,3342,9765,흰색,자동,가솔린,54,5,0,0,7235,5450
20,BMW X4 1세대 M40i,2019,2979,6600,청색,자동,가솔린,45,5,0,0,8730,5450
64,BMW 5시리즈 540i xDrive M 스포츠 플러스,2018,2998,74583,검정색,자동,가솔린,56,5,0,3,9980,5400
267,제네시스 EQ900 5.0 GDi AWD 프레스티지,2018,5038,75852,청색,자동,가솔린,55,5,0,0,11584,5399
116,기아 더 K9 3.8 GDI AWD 그랜드 플래티넘,2018,3778,35675,검정색,자동,가솔린,55,5,0,0,7608,5390
323,포드 익스플로러 2.3 에코부스트 리미티드 AWD,2020,2261,12834,진회색,자동,가솔린,55,7,0,0,5990,5350
19,BMW 5시리즈 520d xDrive M 스포츠 플러스 (1..,2020,1995,10350,청색,자동,디젤,28,5,0,2,7490,5350
343,벤츠 E클래스 E220 d 4매틱 익스클루시브,2019,1950,48000,흰색,자동,디젤,0,5,0,0,7160,5300
51,벤츠 E클래스 E350 d,2017,2987,26672,흰색,자동,디젤,52,5,0,1,8370,5300
253,제네시스 EQ900 5.0 GDi AWD 프레스티지,2017,5038,65933,검정색,자동,가솔린,56,5,0,1,11584,5299
38,기아 더 K9 3.8 GDI AWD 그랜드 플래티넘,2018,3778,36668,검정색,자동,가솔린,55,5,0,1,7608,5250
377,포르쉐 마칸 3.0 S 95B,2014,2997,92000,흰색,자동,가솔린,35,5,0,6,8480,5200
120,벤츠 E클래스 E300 아방가르드,2018,1991,17000,검정색,자동,가솔린,45,5,0,0,6350,5200
101,아우디 A6 5세대 45 TFSI 콰트로,2019,1984,1650,진회색,자동,가솔린,51,5,0,0,6679,5190
99,벤츠 S클래스 S350 블루텍 4매틱,2015,2987,147443,은색,자동,디젤,62,5,0,2,13270,5170
373,벤츠 GLC 250d 4매틱,2018,2143,32878,흰색,자동,디젤,37,5,0,0,7720,5150
4,제네시스 EQ900 5.0 GDi AWD 프레스티지,2016,5038,58900,검정색,자동,가솔린,0,5,0,2,11490,5150
151,기아 모하비 더 마스터 3.0 디젤 4WD 7인승 마스터즈,2020,2959,70,검정색,자동,디젤,43,7,0,0,5224,5099
271,제네시스 EQ900 5.0 GDi AWD 프레스티지,2017,5038,82989,진주색,자동,가솔린,53,5,0,4,11584,5099
268,제네시스 EQ900 3.8 GDi AWD 럭셔리,2018,3778,48746,검정색,자동,가솔린,45,5,0,1,7415,5090
457,아우디 A5 2세대 40 TDI 콰트로 스포트백 프리미엄,2020,1968,4837,검정색,자동,디젤,39,5,0,0,6440,5090
700,랜드로버 디스커버리4 3.0 SDV6 SE,2016,2993,61000,흰색,자동,디젤,42,7,0,2,8180,5090
259,제네시스 EQ900 5.0 GDi AWD 프레스티지,2016,5038,50767,청색,자동,가솔린,56,5,0,0,11490,4999
276,제네시스 EQ900 3.8 GDi AWD 럭셔리,2017,3778,44211,진주색,자동,가솔린,45,5,0,0,7415,4999
13,볼보 뉴 XC90 D5 AWD R-디자인,2016,1969,138981,검정색,자동,디젤,44,7,0,3,8900,4990
57,쉐보레 트래버스 3.6 V6 레드라인,2020,3564,8755,검정색,자동,가솔린,21,7,0,0,5522,4990
2,기아 더 K9 3.8 GDI AWD 플래티넘Ⅲ,2018,3778,29000,검정색,자동,가솔린,0,5,0,1,6764,4970
77,BMW X3 3세대 xDrive 20d X라인,2018,1995,30600,흰색,자동,디젤,42,5,0,0,6580,4950
61,기아 모하비 더 마스터 3.0 디젤 4WD 5인승 마스터즈,2020,2959,6880,검정색,자동,디젤,58,5,0,0,5160,4930
352,제네시스 G80 3.3 T-GDi AWD 스포츠,2018,3342,30885,진회색,자동,가솔린,62,5,0,0,7120,4900
262,제네시스 EQ900 5.0 GDi AWD 프레스티지 리무진,2016,5038,77126,검정색,자동,가솔린,55,5,0,2,15300,4899
290,제네시스 G80 3.3 GDi AWD 프레스티지,2018,3342,11000,진주색,자동,가솔린,58,5,0,1,6110,4899
138,제네시스 G80 3.3 GDi AWD 프레스티지,2018,3342,11000,진주색,자동,가솔린,58,5,0,1,6110,4899
76,아우디 A7 1세대 50 TFSI 콰트로 스포츠,2015,2995,46867,검정색,자동,가솔린,52,4,0,1,9940,4890
78,벤츠 E클래스 E300 AMG 라인,2017,1991,45000,흰색,자동,가솔린,44,5,0,2,7520,4890
50,기아 모하비 더 마스터 3.0 디젤 4WD 7인승 마스터즈,2019,2959,17000,흰색,자동,가솔린,48,7,0,0,5224,4880
302,기아 모하비 더 마스터 3.0 디젤 4WD 5인승 마스터즈,2020,2959,6800,검정색,자동,디젤,58,5,0,0,5160,4830
2,마세라티 기블리 3.0 디젤 스포츠 3세대,2015,2987,77000,흰색,자동,디젤,51,5,0,1,10590,4800
84,BMW 5시리즈 520i 럭셔리 라인,2018,1998,10000,흰색,자동,가솔린,71,5,0,0,6330,4800
85,BMW 5시리즈 520i 럭셔리 라인,2018,1998,19080,흰색,자동,가솔린,72,5,0,0,6330,4800
266,제네시스 EQ900 5.0 GDi AWD 프레스티지,2016,5038,40635,진회색,자동,가솔린,56,5,0,5,11490,4799
269,제네시스 EQ900 5.0 GDi AWD 프레스티지,2016,5038,57620,기타색상,자동,가솔린,56,5,0,1,11490,4790
280,제네시스 EQ900 5.0 GDi AWD 프레스티지,2016,5038,74625,기타색상,자동,가솔린,57,5,0,0,11584,4790
159,현대 팰리세이드 3.8 가솔린 4WD 프레스티지,2020,3778,2421,검정색,자동,가솔린,50,8,0,0,4261,4760
22,BMW 5시리즈 520i 럭셔리 라인,2019,1998,11510,흰색,자동,가솔린,41,5,0,0,6330,4750
275,기아 모하비 더 마스터 3.0 디젤 4WD 6인승 플래티넘,2019,2959,9067,검정색,자동,디젤,46,6,0,0,4793,4750
123,기아 모하비 더 마스터 3.0 디젤 4WD 6인승 플래티넘,2019,2959,9067,검정색,자동,디젤,46,6,0,0,4793,4750
29,BMW 5시리즈 520d M 스포츠 플러스,2017,1995,25700,흰색,자동,디젤,55,5,0,1,7140,4750
16,BMW 5시리즈 530i M 스포츠 플러스,2017,1998,28000,흰색,자동,가솔린,56,5,0,6,7130,4750
49,기아 더 K9 3.3 T-GDI AWD 마스터즈Ⅲ,2018,3342,53897,회색,자동,가솔린,57,5,0,0,7235,4720
306,기아 모하비 더 마스터 3.0 디젤 4WD 7인승 마스터즈,2019,2959,19000,검정색,자동,디젤,63,7,0,0,5224,4700
265,제네시스 EQ900 3.8 GDi AWD 럭셔리,2018,3778,66199,기타색상,자동,가솔린,43,5,0,1,7415,4699
270,제네시스 EQ900 5.0 GDi AWD 프레스티지,2016,5038,66223,검정색,자동,가솔린,56,5,0,0,11490,4699
85,현대 팰리세이드 3.8 가솔린 4WD 프레스티지,2019,3778,22354,흰색,자동,가솔린,1,8,0,1,4261,4690
32,아우디 S6 4.0 TFSI 콰트로 스포츠 디자인 C7,2016,3993,83785,흰색,자동,가솔린,48,5,0,1,12650,4650
51,기아 더 뉴 카니발 2.2 디젤 9인승 하이리무진 노블레스 스페셜,2018,2199,32467,검정투톤,자동,디젤,59,9,0,0,5606,4650
11,벤츠 E클래스 E300 4매틱 아방가르드,2017,1991,65000,흰색,자동,가솔린,51,5,0,4,7600,4650
474,제네시스 G80 3.3 GDi AWD 프레스티지,2018,3342,17728,검정색,자동,가솔린,59,5,0,2,6110,4600
1,포르쉐 박스터 S 3.4 987,2010,3436,59610,흰색,자동,가솔린,33,2,0,1,10930,4600
32,BMW 5시리즈 520i 럭셔리 라인,2018,1998,20000,흰색,자동,가솔린,55,5,0,0,6330,4600
254,제네시스 EQ900 3.8 GDi AWD 프리미엄 럭셔리,2017,3778,80564,검정색,자동,가솔린,54,5,0,0,8933,4599
263,제네시스 EQ900 3.8 GDi AWD 프레스티지,2016,3778,70762,갈색,자동,가솔린,0,5,0,1,10700,4599
14,기아 더 K9 3.8 GDI AWD 플래티넘Ⅱ,2019,3778,28997,검정색,자동,가솔린,56,5,0,0,6086,4590
81,아우디 RS5 4.2 FSI 콰트로 8T,2015,4163,58000,검정색,자동,가솔린,27,4,0,2,10840,4550
123,제네시스 EQ900 5.0 GDi AWD 프레스티지,2016,5038,59136,검정색,자동,가솔린,55,5,0,3,11490,4519
19,포드 머스탱 GT 쿠페,2019,5035,12672,파란색,자동,가솔린,8,4,0,0,6440,4500
343,포르쉐 박스터 S 3.4 987,2010,3436,43120,노란색,자동,가솔린,22,2,0,0,10800,4500
190,포르쉐 박스터 S 3.4 987,2010,3436,43120,노란색,자동,가솔린,22,2,0,0,10800,4500
48,아우디 A7 1세대 50 TFSI 콰트로 스포츠,2015,2995,50778,기타색상,자동,가솔린,48,4,0,2,9940,4500
260,제네시스 EQ900 5.0 GDi AWD 프레스티지,2016,5038,78788,기타색상,자동,가솔린,53,5,0,4,11490,4499
